duration,key,loudness,mode,tempo,artist_hotttnesss,end_of_fade_in,start_of_fade_out,mode_confidence,key_confidence,time_signature,time_signature_confidence,year,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,Points,Country
181.32463,5,-5.927,1,143.813,0.12,3.52943,181.32463,0.021,0.145,4,0.819,2019,23,0.533,0.55,0.0294,0.0419,0.0,0.377,0.159,181325,129.0, Italy
185.35637,8,-4.679,0,98.219,0.11,0.0,177.1102,0.464,0.394,4,0.893,2019,19,0.427,0.504,0.0314,0.475,0.0,0.115,0.374,185356,36.0, Albania
178.09964,7,-4.558,1,90.025,0.14,0.44512,169.12254,0.485,0.341,4,1.0,2019,25,0.553,0.838,0.0477,0.0555,0.0,0.335,0.531,178100,109.0, Serbia
180.24998,5,-8.201,0,109.996,0.16,0.20789,180.24998,0.536,0.549,4,1.0,2019,20,0.662,0.475,0.034,0.025,3.99e-06,0.582,0.447,180250,182.0, Ukraine
159.35388,7,-5.995,1,131.958,0.06,0.0,155.71883,0.786,0.908,4,0.834,2018,13,0.742,0.635,0.0407,0.0273,0.0,0.0942,0.24,159354,42.0, Portugal
172.44913,1,-4.442,1,188.563,0.29,0.13923,168.34467,0.753,0.702,4,1.0,2018,28,0.267,0.637,0.0411,0.401,0.0,0.469,0.508,172449,171.0, Kazakhstan
169.4171,8,-6.878,1,104.959,0.16,2.36844,163.82259,0.44,0.284,4,1.0,2018,19,0.831,0.816,0.2,0.0477,7.8e-06,0.111,0.595,169417,44.0, Albania
178.28552,5,-6.608,1,88.003,0.06,0.0,173.41823,0.501,0.462,4,1.0,2018,15,0.586,0.715,0.0459,0.319,0.0,0.0879,0.199,178286,122.0, Russia
178.43954,7,-7.621,1,141.941,0.24,2.90249,171.94957,0.45,0.339,4,1.0,2020,15,0.506,0.372,0.0278,0.148,0.0,0.0811,0.235,178440,91.0, Netherlands
180.37003,2,-6.134,1,159.635,0.04,0.0,172.69841,0.639,0.79,4,0.708,2018,12,0.458,0.677,0.0389,0.348,0.0,0.0742,0.236,180370,47.0, Azerbaijan
217.23428,5,-10.919,1,86.541,0.15,0.53982,205.62431,0.632,0.532,4,0.867,2018,6,0.283,0.347,0.0359,0.824,0.0,0.0793,0.509,217234,114.0, Belarus
182.84567,3,-5.678,1,125.983,0.06,0.11646,177.61523,0.535,0.469,4,0.816,2018,15,0.572,0.775,0.0522,0.168,0.0,0.104,0.427,182846,48.0, Ireland
176.35837,9,-8.693,1,122.053,0.02,0.0,164.71655,0.329,0.205,4,0.841,2018,9,0.505,0.449,0.0352,0.231,0.0,0.103,0.177,176358,30.0, Serbia
178.68399,7,-4.987,1,149.505,0.04,0.0,170.52734,0.423,0.429,4,0.852,2018,11,0.369,0.415,0.0359,0.382,0.0,0.11,0.182,178684,151.0, Italy
179.936,8,-4.239,1,150.02,0.1,0.0,172.77388,0.591,0.676,4,1.0,2018,19,0.514,0.857,0.0895,0.195,0.0,0.0776,0.529,179936,201.0, Australia
180.27528,7,-5.111,1,135.3,0.08,2.47873,172.2224,0.598,0.503,4,1.0,2018,18,0.41,0.685,0.0496,0.0398,0.0,0.146,0.126,180275,144.0, Georgia
178.8819,9,-5.376,0,84.966,0.06,0.1273,172.75645,0.569,0.571,4,1.0,2018,8,0.33,0.642,0.0381,0.445,0.0,0.0773,0.308,178882,81.0, Israel
185.93202,7,-7.763,1,106.002,0.42,0.16249,180.50612,0.741,0.847,4,1.0,2019,36,0.755,0.518,0.045,0.579,0.0,0.133,0.739,185932,203.0, France
