duration,key,loudness,mode,tempo,artist_hotttnesss,end_of_fade_in,start_of_fade_out,mode_confidence,key_confidence,time_signature,time_signature_confidence,year,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,Points,Country
182.84567,3,-5.678,1,125.983,0.05,0.11646,177.61523,0.535,0.469,4,0.816,2018,15,0.572,0.775,0.0522,0.168,0.0,0.104,0.427,182846,48.0, Ireland
176.35837,9,-8.693,1,122.053,0.02,0.0,164.71655,0.329,0.205,4,0.841,2018,9,0.505,0.449,0.0352,0.231,0.0,0.103,0.177,176358,30.0, Serbia
178.68399,7,-4.987,1,149.505,0.04,0.0,170.52734,0.423,0.429,4,0.852,2018,11,0.369,0.415,0.0359,0.382,0.0,0.11,0.182,178684,151.0, Italy
179.936,8,-4.239,1,150.02,0.1,0.0,172.77388,0.591,0.676,4,1.0,2018,19,0.514,0.857,0.0895,0.195,0.0,0.0776,0.529,179936,201.0, Australia
180.27528,7,-5.111,1,135.3,0.08,2.47873,172.2224,0.598,0.503,4,1.0,2018,18,0.41,0.685,0.0496,0.0398,0.0,0.146,0.126,180275,144.0, Georgia
178.8819,9,-5.376,0,84.966,0.06,0.1273,172.75645,0.569,0.571,4,1.0,2018,8,0.33,0.642,0.0381,0.445,0.0,0.0773,0.308,178882,81.0, Israel
185.93202,7,-7.763,1,106.002,0.42,0.16249,180.50612,0.741,0.847,4,1.0,2019,36,0.755,0.518,0.045,0.579,0.0,0.133,0.739,185932,203.0, France
176.57605,5,-5.131,0,148.771,0.07,0.08698,169.91202,0.646,0.645,4,0.984,2018,17,0.447,0.637,0.0415,0.644,1.19e-06,0.217,0.364,176576,99.0, Macedonia
182.9185,9,-5.44,1,108.989,0.08,0.08132,175.73442,0.22,0.522,4,0.889,2018,18,0.684,0.848,0.0351,0.00774,7.91e-05,0.149,0.834,182919,125.0, Armenia
150.86862,2,-7.967,1,168.028,0.11,0.0,146.70947,0.528,0.499,4,0.998,2018,13,0.518,0.512,0.0484,0.168,0.0269,0.198,0.723,150869,29.0, Wales
180.52762,2,-6.766,1,100.066,0.35,0.28957,177.42368,0.651,0.477,4,1.0,2018,13,0.583,0.589,0.0553,0.516,0.0,0.124,0.427,180528,181.0, Malta
178.01288,4,-7.951,0,159.806,0.44,0.75052,173.65623,0.371,0.277,4,0.98,2019,47,0.622,0.602,0.0865,0.106,0.0,0.293,0.465,178013,215.0, Poland
209.26694,1,-3.828,1,124.843,0.01,0.58054,204.60263,0.79,0.617,4,0.897,2016,4,0.675,0.809,0.0384,0.546,0.0,0.123,0.423,209267,34.0, Italy
