Draw,Country,Artist,Song,Language,Place,Points
1, Serbia,Lena Stamenković,Lenina pesma ,Serbian,7,79
2, Georgia,The Virus,Gabede ,Georgian,10,51
3, Slovenia,Lina Kuduzović,Prva ljubezen,"Slovene, English1",3,112
4, Italy,Chiara & Martina,Viva,Italian2,16,34
5, Netherlands,Shalisa,Million Lights,"Dutch, English",15,35
6, Australia,Bella Paige,My Girls,English,8,64
7, Ireland,Aimee Banks,Réalta na Mara,Irish3,12,36
8, Russia,Mikhail Smirnov,Mechta  ,"Russian, English",6,80
9, Macedonia,Ivana Petkovska & Magdalena Aleksovska,Pletenka – Braid of Love ,Macedonian2,17,26
10, Belarus,Ruslan Aslanov,Volshebstvo  ,"Russian, English[18]",4,105
11, Armenia,Mika,Love,"Armenian, English",2,176
12, Ukraine,Anna Trincher,Pochny z sebe - Start with Yourself ,"Ukrainian, English",11,38
13, Bulgaria,Gabriela Yordanova & Ivan Stoyanov,Colour of Hope,Bulgarian,9,62
14, San Marino,Kamilla Ismailova,Mirror,"Italian, English",14,36
15, Malta,Destiny Chukunyere,Not My Soul,English,1,185
16, Albania,Mishela Rapo,Dambaje,"Albanian, English4, Imaginary5",5,93
17, Montenegro,Jana Mirković,Oluja,Montenegrin,13,36
