Draw,Country,Artist,Song,Language,Place,Points
1, Greece,Alexandros & Kalli,Tora einai i seira mas,Greek,6,88
2, Denmark,Nicolai,Shake Shake Shake,Danish,4,121
3, Croatia,Lorena Jelusić,Rock Baby,Croatian,12,36
4, Romania,Alina Eremia,Țurai!,Romanian,5,89
5, United Kingdom,Joni Fuller,How Does It Feel?,English,14,28
6, Sweden,M+,Gränslös kärlek,Swedish,15,22
7, Russia,Vladislav Krutskikh and Street Magic,Doroga k solntsu,Russian,9,66
8, Macedonia,Denis Dimoski,Rodendeski baknež,Macedonian,8,68
9, Netherlands,Tess,Stupid,Dutch,7,82
10, Serbia and Montenegro,Filip Vučić,Ljubav pa fudbal,Montenegrin,13,29
11, Latvia,Kids4Rock,Es esmu maza jauka meitene,Latvian,11,50
12, Belgium,Lindsay,Mes rêves,French,10,63
13, Malta,Thea and Friends,Make It Right!,English,16,18
14, Norway,Malin,Sommer og skolefri[a],Norwegian,3,123
15, Spain,Antonio José,Te traigo flores,Spanish,2,146
16,Belarus Belarus,Ksenia Sitnik,My vmeste ,Russian,1,149
