Draw,Country,Artist,Song,Language,Place,Points
1, Russia,Katya Ryabova,Romeo & Juliet,Russian,4,99
2, Latvia,Amanda Bašmakova,Moondog,Latvian,13,31
3, Moldova,Lerika,"No, No","Romanian, English",6,78
4, Armenia,Dalita,Welcome to Armenia,"Armenian, English",5,85
5, Bulgaria,Ivan Ivanov,Superhero,Bulgarian,8,60
6, Lithuania,Paulina Skrabytė,Debesys,Lithuanian,10,53
7, Ukraine,Kristall,Evropa ,"Ukrainian, English",11,42
8, Macedonia,Dorijan Dlaka,Žimi ovoj frak ,Macedonian,12,31
9, Netherlands,Rachel,Teenager,Dutch[note 2],2,103
10,Belarus Belarus,Lidiya Zablotskaya,Angely dobra ,Russian,3,99
11, Sweden,Erik Rapp,Faller,Swedish,9,57
12, Georgia,Candy,Candy Music,Georgian[note 3],1,108
13, Belgium,Femke,Een kusje meer,Dutch,7,64
