Draw,Country,Artist,Song,Language,Place,Points
1, Ireland,Zena Donnelly,Bríce ar Bhríce,"Irish, English",10,122
2, Armenia,Anahit & Mary,Tarber,"Armenian, English",2,232
3, Albania,Klesta Qehaja,Besoj,"Albanian, English",13,38
4, Russia,The Water of Life Project,Water of Life,"Russian, English",4,202
6, Bulgaria,Lidia Ganeva,Magical Day,"Bulgarian, English",9,161
7, Macedonia,Martija Stanojković,Love Will Lead Our Way,"Macedonian, English",12,41
8, Poland,Olivia Wieczorek,Nie zapomnij,"Polish, English",11,60
9, Belarus,Alexander Minyonok,Musyka moikh pobed,"Russian, English",7,177
10, Ukraine,Sofia Rol,Planet Craves for Love,"Ukrainian, English",14,30
11, Italy,Fiamma Boccia,Cara Mamma - Dear Mom,"Italian, English",3,209
12, Serbia,Dunja Jeličić,U la la la,Serbian,17,14
13, Israel,Shir & Tim,Follow My Heart,"Hebrew, English",15,27
14, Australia,Alexa Curtis,We Are,English,5,202
15, Netherlands,Kisses,Kisses and Dancin',"Dutch, English",8,174
16, Cyprus,George Michaelides,Dance Floor,"Greek, English",16,27
17, Georgia,Mariam Mamadashvili,Mzeo,Georgian,1,239
