Draw,Country,Artist,Song,Language,Place,Points
1, Romania,Mădălina and Andrada,Salvați planeta!,Romanian,9,58
2, Armenia,Monica,Im Ergi Hnchyune,Armenian,8,59
3, Belarus,"Dasha, Alina & Karyna",Serdtse Belarusi ,"Russian, Belarusian[22]",6,86
4, Russia,Mihail Puntov,Spit angel ,Russian,7,73
5, Greece,Niki Yiannouchu,Kapoia nychta ,Greek,14,19
6, Georgia,Bzikebi,Bzz..,Imaginary,1,154
7, Belgium,Oliver,Shut Up,Dutch,11,45
8, Bulgaria,Krastyana Krasteva,Edna mechta ,Bulgarian,15,15
9, Serbia,Maja Mazić,Uvek kad u nebo pogledam ,Serbian,12,37
10, Malta,Daniel Testa,Junior Swing,English,4,100
11, Netherlands,Marissa,1 dag,Dutch,13,27
12, Ukraine,Viktoria Petryk,Matrosy ,Ukrainian,2,135
13, Lithuania,Eglė Jurgaitytė,Laiminga diena,Lithuanian,3,103
14, Macedonia,Bobi Andonov,Prati mi SMS ,Macedonian,5,93
15, Cyprus,Elena Mannouri and Charis Savva,Gioupi gia! ,Greek,10,46
