Draw,Country,Artist,Song,Language,Place,Points
1, Portugal,Pedro Madeira,Deixa-me sentir,Portuguese,14,22
2, Cyprus,Luis Panagiotou & Christina Christofi,Agoria koritsia ,Greek,8,58
3, Netherlands,Kimberly Nieuwenhuis,Goed,Dutch,12,44
4, Romania,New Star Music,Povestea mea,Romanian,6,80
5, Ukraine,Nazar Slyusarchuk,Khlopchyk Rock 'n' Roll ,Ukrainian,9,58
6, Spain,Dani Fernández,Te doy mi voz,Spanish,4,90
7,Serbia Serbia,Neustrašivi učitelji stranih jezika [sr],Učimo strane jezike ,"Serbian, English1",5,81
8, Malta,Sophie Debattista,Extra Cute,English,11,48
9, Macedonia,Zana Aliu,Vljubena ,Macedonian,15,14
10, Sweden,Molly Sandén,Det finaste någon kan få,Swedish,3,116
11, Greece,Chloe Sofia Boleti,Den peirazei ,Greek,13,35
12,Belarus Belarus,Andrey Kunets,Noviy den ,Russian,2,129
13, Belgium,Thor!,Een tocht door het donker,Dutch,7,71
14, Croatia,Mateo Đido,Lea,Croatian,10,50
15, Russia,Tolmachevy Twins,Vesenniy Jazz,Russian,1,154
