Draw,Country,Artist,Song,Language,Place,Points
1, Sweden,Mimmi Sandén,Du,Swedish,6,68
2, Russia,Ekaterina Ryabova,Malenkiy prints ,Russian,2,116
3, Armenia,Luara Hayrapetyan,Barcelona ,Armenian,2,116
4, Romania,Ioana Anuța,Ai puterea în mâna ta,Romanian,13,19
5, Serbia,Ništa Lično,Onaj pravi ,Serbian,10,34
6, Georgia,Princesses,Lurji prinveli ,"Georgian, English",6,68
7, Netherlands,Ralf Mackenbach,Click Clack,"Dutch, English",1,121
8, Cyprus,Rafaella Costa,"Thalassa, helios, aeras, fotia ",Greek,11,32
9, Malta,Francesca & Mikaela,Double Trouble,English,8,55
10, Ukraine,Andranik Alexanyan,"Try topoli, try surmy ",Ukrainian,5,89
11, Belgium,Laura Omloop,Zo verliefd ,Dutch,4,113
12,Belarus Belarus,Yury Demidovich,Volshebniy krolik ,Russian,9,48
13, Macedonia,Sara Markoska,Za ljubovta,Macedonian,12,31
