Draw,Country,Artist,Song,Language,Place,Points
1, Greece,Nicolas Ganopoulos,Fili gia panta,Greek,8,53
2, Croatia,Dino Jelušić,Ti si moja prva ljubav,Croatian,1,134
3, Cyprus,Theodora Rafti,Mia efhi,Greek,14,16
4,Belarus Belarus,Volha Satsiuk,Tantsuy,Belarusian,4,103
5, Latvia,Dzintars Čīča,Tu esi vasarā,Latvian,9,37
6, Macedonia,Marija & Viktorija,Ti ne me poznavaš ,Macedonian,12,19
7, Poland,Katarzyna Żurawik,Coś mnie nosi,Polish,16,3
8, Norway,2U,Sinnsykt gal forelsket,Norwegian,13,18
9, Spain,Sergio,Desde el cielo,Spanish,2,125
10, Romania,Bubu,Tobele sunt viața mea,Romanian,10,35
11, Belgium,X!NK,De vriendschapsband,Dutch,6,83
12, United Kingdom,Tom Morley,My Song for the World,English,3,118
13, Denmark,Anne Gadegaard,Arabiens drøm,Danish,5,93
14, Sweden,The Honeypies,Stoppa mig,Swedish,15,12
15, Malta,Sarah Harrison,Like a Star,English,7,56
16, Netherlands,Roel Felius,Mijn ogen zeggen alles,Dutch,11,23
