Draw,Country,Artist,Song,Language,Place,Points
1, Georgia,Mariam Romelashvili,Odelia Ranuni ,Georgian,4,116
2, Belgium,Trust,Anders,Dutch,15,19
3, Armenia,Arevik,Erazanq ,Armenian,2,136
4, Cyprus,Yiorgos Ioannides,I mousiki dinei ftera,Greek,14,29
5, Portugal,Jorge Leiria,Só quero é cantar,Portuguese,16,15
6, Russia,Alexandra Golovchenko,Otlichnitsa ,Russian,6,105
7, Romania,4Kids,Sha-la-la,Romanian,10,54
8, Bulgaria,Bon-Bon,Bonbolandiya,Bulgarian,7,86
9,Serbia Serbia,Nevena Božović,Piši mi ,Serbian,3,120
10, Netherlands,"Lisa, Amy & Shelley","Adem in, adem uit",Dutch,11,39
11, Macedonia,Rosica Kulakova and Dimitar Stojmenovski,Ding Ding Dong ,Macedonian,5,111
12, Ukraine,Ilona Halytska,Urok hlamuru,Ukrainian,9,56
13, Sweden,Frida Sandén,Nu eller aldrig,Swedish,8,83
14, Malta,Cute,Music,English,12,37
15, Greece,Made in Greece,Kapou berdeftika ,Greek,17,14
16, Lithuania,Lina Joy,Kai miestas snaudžia,Lithuanian,13,33
17,Belarus Belarus,Alexey Zhigalkovich,S druz'yami ,Russian,1,137
