Draw,Country,Artist,Song,Language,Place,Points
1, Belarus,Egor Zheshko,A more-more ,Russian,9,56
2, Sweden,Lova Sönnerbo,Mitt mod,Swedish,6,70
3, Azerbaijan,Omar and Suada,Girls and Boys ,"Azerbaijani, English",11,49
4, Belgium,Fabian,Abracadabra,Dutch,5,72
5, Russia,Lerika,Sensation,"Russian, English",4,88
6, Israel,Kids.il,Let the Music Win,Hebrew1,8,68
7, Albania,Igzidora Gjeta,Kam një këngë vetëm për ju,Albanian,12,35
8, Armenia,Compass Band,Sweetie Baby,"Armenian, English",3,98
9, Ukraine,Anastasiya Petryk,Nebo ,"Ukrainian, English",1,138
10, Georgia,Funkids,Funky Lemonade,"Georgian, English",2,103
11, Moldova,Denis Midone,Toate vor fi,"Romanian, English",10,52
12, Netherlands,Femke,Tik Tak Tik,Dutch,7,69
