Edad,Muertes(miles)
"""Total""",743.3
"""0-1""",0.7
"""1-4""",0.3
"""5-14""",0.3
"""15-24""",1.0
"""25-34""",3.5
"""35-34""",13.1
"""45-54""",32.7
"""55-64""",72.0
"""65-74""",158.1
"""75-84""",234.0
"""85-infinito""",227.6
