iter	Logloss
0	0.6885399672
1	0.6832710733
2	0.6775091791
3	0.6724231711
4	0.6675885452
5	0.6626208449
6	0.6571501823
7	0.6517013504
8	0.6464139467
9	0.6411109504
10	0.635703331
11	0.6308722602
12	0.6259855163
13	0.6210758089
14	0.6156418905
15	0.6106479433
16	0.6062304646
17	0.6012566615
18	0.59660017
19	0.5923346501
20	0.5875237573
21	0.5831598698
22	0.5781320671
23	0.5739645302
24	0.5685225927
25	0.5639336863
26	0.5596056577
27	0.5556747305
28	0.5519805002
29	0.5477290391
30	0.5433515115
31	0.539411391
32	0.5358170434
33	0.5314866962
34	0.5277241787
35	0.5238195002
36	0.5192433737
37	0.5155944915
38	0.5119856057
39	0.5082405552
40	0.5045052094
41	0.5007180532
42	0.49729424
43	0.4936352992
44	0.490199443
45	0.4861884239
46	0.4825718964
47	0.4788826587
48	0.4755398216
49	0.4715325338
50	0.4681178349
51	0.4647932702
52	0.4614828864
53	0.4578609822
54	0.4542905436
55	0.4507156967
56	0.4474469374
57	0.4439440704
58	0.4402062876
59	0.4362033411
60	0.4326169846
61	0.428956415
62	0.4259099057
63	0.4218526055
64	0.4186096945
65	0.4150387493
66	0.4121558878
67	0.4091893775
68	0.4064441773
69	0.4036600176
70	0.4007975126
71	0.3978086234
72	0.39428626
73	0.3910203703
74	0.3880082713
75	0.3853463069
76	0.3824975452
77	0.3794552786
78	0.3767987674
79	0.3736506086
80	0.3709157428
81	0.368457666
82	0.3655836304
83	0.363184024
84	0.3598730308
85	0.3573233
86	0.3544369067
87	0.3518969735
88	0.34940623
89	0.3467602968
90	0.3443860589
91	0.3417329407
92	0.3389340579
93	0.3359992207
94	0.3335577943
95	0.3313307579
96	0.3293403851
97	0.3272924028
98	0.3251896679
99	0.3229106704
100	0.3204911156
101	0.3183309399
102	0.315595126
103	0.3130813413
104	0.3104680178
105	0.3081320419
106	0.305819588
107	0.3037369828
108	0.301546704
109	0.2994326906
110	0.2974900064
111	0.2952963041
112	0.29340866
113	0.2912824503
114	0.289512446
115	0.2871365451
116	0.2852501609
117	0.2835821158
118	0.281597483
119	0.2799071103
120	0.2780008145
121	0.2760066745
122	0.2736015607
123	0.2718337042
124	0.2700503607
125	0.2684000296
126	0.2667800809
127	0.265031096
128	0.2627100925
129	0.2605240615
130	0.2588513902
131	0.2570643166
132	0.2551914243
133	0.2537036064
134	0.2519307425
135	0.2498420297
136	0.2486581654
137	0.2469866711
138	0.2451409301
139	0.2433378356
140	0.2418967996
141	0.2404315707
142	0.2389160868
143	0.2371921472
144	0.2355978222
145	0.2340881281
146	0.2320270563
147	0.2306763424
148	0.2292697123
149	0.227870688
150	0.2265618089
151	0.2253930617
152	0.223980774
153	0.2228268783
154	0.2215844802
155	0.2202305205
156	0.21815079
157	0.2169037544
158	0.215674994
159	0.2144447913
160	0.2130183672
161	0.2118337867
162	0.2105874443
163	0.2092997858
164	0.207928803
165	0.2067396604
166	0.2054864386
167	0.2043142507
168	0.2031365027
169	0.2015516665
170	0.2002981129
171	0.1990070732
172	0.1979688215
173	0.1968968423
174	0.1956831207
175	0.1947548778
